City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,shangri-la,27.8453,99.7415,283.96,94,99,1.51,CN,1724194474
202,crane,31.3957,-102.3521,299.96,37,3,3.01,US,1724242745
203,zeya,53.7404,127.2716,289.61,66,100,1.61,RU,1724185219
204,sawakin,19.1031,37.3312,313.86,33,100,8.78,SD,1724210007
205,petropavlovsk-kamchatsky,53.02,158.6471,284.21,79,35,5.24,RU,1724264299
206,elesbao veloso,-6.2033,-42.1377,305.84,31,0,3.48,BR,1724230418
207,souillac,44.898,1.4694,300.3,32,4,2.24,FR,1724216620
208,pacific grove,36.6211,-121.9178,287.95,88,0,1.79,US,1724247039
209,kijang,0.8502,104.6028,300.05,76,100,5.51,ID,1724194847
210,muscat,23.6152,58.5912,305.04,61,0,2.48,OM,1724204630
211,hithadhoo,1.7959,73.3876,301.23,76,100,3.43,MV,1724202289
212,iquique,-20.2141,-70.1525,288.95,79,50,2.4,CL,1724237880
213,santa cruz,28.4696,-16.2541,304.0,67,0,4.63,ES,1724222280
214,gazojak,41.1888,61.4061,307.53,16,0,5.77,TM,1724202605
215,olinda,-7.9986,-34.846,301.16,74,40,6.17,BR,1724228760
216,arraial do cabo,-22.9663,-42.0244,296.14,78,75,5.66,BR,1724231291
217,wailua homesteads,22.0581,-159.3691,296.5,94,40,4.54,US,1724257049
218,chui,-33.6895,-53.4547,287.31,94,100,6.33,BR,1724234717
219,alotau,-10.3061,150.4464,297.03,96,94,1.37,PG,1724184424
220,trancas,-26.2292,-65.2805,284.74,83,99,2.62,AR,1724237063
221,aras-asan,8.8886,126.3094,300.97,77,99,0.84,PH,1724189219
222,kavaratti,10.5672,72.6395,298.68,88,100,15.22,IN,1724202010
223,lhasa,29.6554,91.1705,289.49,54,82,1.45,CN,1724196406
224,sanctuary point,-35.1114,150.629,289.79,54,100,3.44,AU,1724185881
225,fortuna,40.5974,-124.156,287.75,97,100,0.0,US,1724247227
226,kingston,17.9712,-76.7928,304.16,74,20,1.54,JM,1724237467
227,kataragama,6.4136,81.3324,299.12,86,100,5.46,LK,1724200144
228,labrador city,52.9423,-66.9177,287.13,65,40,4.47,CA,1724232008
229,coquimbo,-29.9532,-71.338,282.11,86,20,3.6,CL,1724238752
230,fort st. john,56.2461,-120.8471,285.14,87,100,5.66,CA,1724244411
231,yangor,-0.5381,166.9115,301.7,69,98,5.34,NR,1724266352
232,celestun,20.8604,-90.3994,298.16,85,17,2.84,MX,1724240565
233,ardakan,30.2624,51.9837,298.32,35,0,7.17,IR,1724205771
234,fredericton,45.9478,-66.6535,287.89,95,100,3.09,CA,1724232867
235,labuan,-0.6985,119.8499,297.76,95,100,1.15,ID,1724191268
236,keetmanshoop,-26.5817,18.1365,297.62,9,0,0.51,NA,1724217078
237,kapa'a,-33.929,18.4174,288.63,53,40,8.75,ZA,1724217499
238,port alfred,-33.5982,26.8915,290.96,78,40,5.36,ZA,1724215443
239,pisco,-13.71,-76.203,288.63,88,5,2.57,PE,1724238978
240,quibdo,5.6923,-76.6584,298.28,94,100,3.09,CO,1724238097
241,achacachi,-16.0439,-68.685,280.24,73,91,1.55,BO,1724237299
242,sitka,57.0525,-135.3376,284.03,82,0,1.93,US,1724247742
243,gulabpura,25.9061,74.6599,304.13,62,93,2.15,IN,1724200625
244,singaparna,-7.3499,108.1108,293.99,92,92,1.11,ID,1724194427
245,mckenzie,31.5424,-86.715,293.58,84,0,2.54,US,1724238980
